ID,LM,DESCRIÇÃO,ALTURA,LARGURA,PROFUNDIDADE,IMAGEM
1,86799692,Prateleira de Madeira MDP Branca 120x25cm Montfácil,"4,0 cm",120 cm,25 cm,https://cdn.leroymerlin.com.br/products/prateleira_borda_oval_suporte_embutido_madeira_branco_120x25x4cm_classic_montfacil_86799692_4ee5_600x600.jpg
101,92093092,Prateleira de Madeira MDF Verde 45x10cm Emklave,"1,5 cm",45 cm,10 cm,https://cdn.leroymerlin.com.br/products/prateleira_box_spaceo_45x10cm_verde_92093092_03e2_600x600.jpg
102,92331351,Prateleira Industrial de Madeira MDP Teka Madri 60x20x12cm,"1,2 cm",60 cm,20 cm,https://cdn.leroymerlin.com.br/products/prateleira_industrial_de_madeira_mdp_teka_madri_60x20x12cm_92331351_8e76_600x600.jpg
103,92374730,Prateleira de Madeira MDP Nogueira 120x25cm Bemfixa,"1,5 cm",120 cm,25 cm,https://cdn.leroymerlin.com.br/products/prateleira_suporte_invisivel_25x120cm_nogueira_mdp_bemfixa_92374730_5fa9_600x600.jpg
104,92374716,Prateleira de Madeira MDP Nogueira 80x25cm Bemfixa,"1,5 cm",80 cm,25 cm,https://cdn.leroymerlin.com.br/products/prateleira_suporte_invisivel_25x80cm_nogueira_mdp_bemfixa_92374716_7778_600x600.jpg
105,92370971,Prateleira de Madeira Pinus Natural e Branca 60x30x25cm Settis,"1,7 cm",60 cm,30 cm,https://cdn.leroymerlin.com.br/products/prateleira_suporte_visivel_60x30cm_natural_e_branco_madeira_92370971_44e8_600x600.jpg
106,92331316,Prateleira Industrial de Madeira MDP Teka Madri 90x24x90cm,"2,4 cm",90 cm,90 cm,https://cdn.leroymerlin.com.br/products/prateleira_suporte_visivel_mdp_teka_madri_90x90x24cm_brasforma_92331316_951c_600x600.png
12,89540290,Prateleira de Madeira MDF Branca 90x10cm Multivisão,"1,5 cm",90 cm,10 cm,https://cdn.leroymerlin.com.br/products/prateleira_de_madeira_mdp_branca_90x10cm_multivisao_89540290_e1fb_600x600.jpg
13,89061875,Prateleira de Madeira MDP Branca 90x20cm Zamar,"1,5 cm",90 cm,20 cm,"https://cdn.leroymerlin.com.br/products/prateleira_suporte_embutido_mdp_borda_reta_utilfer_criar_90x20x0,15cm_branca_89061875_8afb_600x600.jpg"
100,92093113,Prateleira de Madeira MDF Verde 45x10cm Emklave,"1,5 cm",45 cm,10 cm,https://cdn.leroymerlin.com.br/products/prateleira__box_spaceo_80x10cm_azul_92093113_bb39_600x600.jpg
2,92318261,"Prateleira de Madeira MDF Branca 115x23,5cm Spaceo","3,8 cm",115 cm,"23,5 cm","https://cdn.leroymerlin.com.br/products/prateleira_de_madeira_mdf_branca_115x23,5cm_spaceo_92318261_b4c9_600x600.jpg"